patron_id,patron_type,age_range,home_library,total_checkouts
P0006,Welcome,35 to 44 years,Glen Park,1
P0007,Adult,0 to 9 years,West Portal,1
P0007,Adult,25 to 34 years,Park,1
P0007,Adult,60 to 64 years,Sunset,1
P0007,Digital Access Card,25 to 34 years,Anza,1
P0007,Digital Access Card,25 to 34 years,Bernal Heights,1
P0007,Digital Access Card,25 to 34 years,North Beach,1
P0007,Digital Access Card,35 to 44 years,West Portal,1
P0007,Digital Access Card,60 to 64 years,Glen Park,1
P0007,Juvenile,10 to 19 years,Eureka Valley,1
P0007,Senior,55 to 59 years,Portola,1
P0007,Teacher Card,35 to 44 years,Sunset,1
P0007,Teacher Card,65 to 74 years,Visitacion Valley,1
P0007,Teacher Card,75 years and over,Chinatown,1
P0007,Welcome,60 to 64 years,Ortega,1
P0007,Welcome,65 to 74 years,Bookmobile,1
P0008,Adult,60 to 64 years,Ortega,1
P0008,Adult,65 to 74 years,Richmond,1
P0008,Digital Access Card,25 to 34 years,Marina,1
P0008,Digital Access Card,55 to 59 years,Ortega,1
P0008,Digital Access Card,75 years and over,Merced,1
P0008,Senior,65 to 74 years,Ingleside,1
P0008,Teacher Card,55 to 59 years,Glen Park,1
P0008,Teacher Card,65 to 74 years,Bernal Heights,1
P0008,Teacher Card,65 to 74 years,Glen Park,1
P0008,Visitor,20 to 24 years,Parkside,1
P0008,Welcome,20 to 24 years,Mission Bay,1
P0008,Welcome,20 to 24 years,Ocean View,1
P0008,Welcome,45 to 54 years,Ortega,1
P0008,Welcome,75 years and over,Merced,1
P0008,Welcome,Null,Sunset,1
P0009,Digital Access Card,25 to 34 years,Marina,1
P0009,Digital Access Card,35 to 44 years,Bayview,1
P0009,Digital Access Card,35 to 44 years,Glen Park,1
P0009,Digital Access Card,45 to 54 years,Mission,1
P0009,Digital Access Card,75 years and over,Marina,1
P0009,Library By Mail,60 to 64 years,Main,1
P0009,Senior,45 to 54 years,Merced,1
P0009,Teacher Card,10 to 19 years,Noe Valley,1
P0009,Teacher Card,35 to 44 years,Marina,1
P0009,Teacher Card,45 to 54 years,Mission,1
P0009,Teacher Card,55 to 59 years,Main,1
P0009,Teacher Card,55 to 59 years,Visitacion Valley,1
P0009,Teacher Card,65 to 74 years,Portola,1
P0009,Welcome,35 to 44 years,West Portal,1
P0009,Welcome,75 years and over,Mission Bay,1
P0010,Digital Access Card,25 to 34 years,Eureka Valley,1
P0010,Digital Access Card,60 to 64 years,Glen Park,1
P0010,Digital Access Card,65 to 74 years,Marina,1
P0010,Digital Access Card,Null,Bernal Heights,1
P0010,Digital Access Card,Null,Western Addition,1
P0010,Juvenile,0 to 9 years,Golden Gate Valley,1
P0010,Senior,65 to 74 years,Bayview,1
P0010,Senior,65 to 74 years,North Beach,1
P0010,Teacher Card,35 to 44 years,West Portal,1
P0010,Teen,10 to 19 years,West Portal,1
P0010,Visitor,0 to 9 years,Bayview,1
P0010,Visitor,65 to 74 years,Marina,1
P0010,Welcome,25 to 34 years,Excelsior,1
P0010,Welcome,25 to 34 years,Portola,1
P0010,Welcome,60 to 64 years,Western Addition,1
P0011,Adult,25 to 34 years,Presidio,1
P0011,Adult,25 to 34 years,Visitacion Valley,1
P0011,Adult,45 to 54 years,Bernal Heights,1
P0011,Adult,55 to 59 years,Western Addition,1
P0011,Digital Access Card,35 to 44 years,Noe Valley,1
P0011,Retired Staff,Null,Noe Valley,1
P0011,Senior,65 to 74 years,Glen Park,1
P0011,Teacher Card,20 to 24 years,Ortega,1
P0011,Teacher Card,35 to 44 years,Anza,1
P0011,Teacher Card,45 to 54 years,Richmond,1
P0011,Teacher Card,60 to 64 years,Marina,1
P0011,Teen,10 to 19 years,Golden Gate Valley,1
P0011,Welcome,10 to 19 years,Park,1
P0011,Welcome,20 to 24 years,Parkside,1
P0011,Welcome,75 years and over,Mission,1
P0012,Adult,0 to 9 years,North Beach,1
P0012,Adult,35 to 44 years,Chinatown,1
P0012,Adult,55 to 59 years,Main,1
P0012,Adult,65 to 74 years,Glen Park,1
P0012,Adult,Null,Western Addition,1
P0012,Juvenile,35 to 44 years,Park,1
P0012,Juvenile,45 to 54 years,Main,1
P0012,Teacher Card,0 to 9 years,Main,1
P0012,Teacher Card,20 to 24 years,Western Addition,1
P0012,Teacher Card,65 to 74 years,Park,1
P0012,Teacher Card,65 to 74 years,West Portal,1
P0012,Welcome,20 to 24 years,Potrero,1
P0012,Welcome,45 to 54 years,West Portal,1
P0012,Welcome,55 to 59 years,Sunset,1
P0012,Welcome,60 to 64 years,Sunset,1
P0013,Adult,25 to 34 years,Chinatown,1
P0013,Adult,60 to 64 years,Parkside,1
P0013,Bibliocommons,25 to 34 years,West Portal,1
P0013,Digital Access Card,10 to 19 years,North Beach,1
P0013,Digital Access Card,55 to 59 years,Sunset,1
P0013,Digital Access Card,Null,Anza,1
P0013,Retired Staff,60 to 64 years,Main,1
P0013,Retired Staff,65 to 74 years,Main,1
P0013,Senior,60 to 64 years,Chinatown,1
P0013,Senior,60 to 64 years,Sunset,1
P0013,Teacher Card,10 to 19 years,Ocean View,1
P0013,Teacher Card,25 to 34 years,Excelsior,1
P0013,Teacher Card,45 to 54 years,Bernal Heights,1
P0013,Welcome,25 to 34 years,Mission Bay,1
P0013,Welcome,65 to 74 years,Western Addition,1
P0014,Adult,25 to 34 years,Presidio,1
P0014,Adult,45 to 54 years,Chinatown,1
P0014,At User Adult,45 to 54 years,Chinatown,1
P0014,At User Adult,55 to 59 years,Marina,1
P0014,Digital Access Card,10 to 19 years,Excelsior,1
P0014,Digital Access Card,45 to 54 years,Visitacion Valley,1
P0014,Digital Access Card,55 to 59 years,Anza,1
P0014,Juvenile,10 to 19 years,Potrero,2
P0014,Retired Staff,Null,Portola,1
P0014,Teacher Card,35 to 44 years,Bernal Heights,1
P0014,Teacher Card,45 to 54 years,Bookmobile,1
P0014,Teacher Card,45 to 54 years,Chinatown,1
P0014,Teacher Card,55 to 59 years,Main,1
P0014,Welcome,20 to 24 years,Bookmobile,1
P0015,Adult,25 to 34 years,Richmond,1
P0015,Adult,45 to 54 years,Bayview,1
P0015,Adult,45 to 54 years,Merced,1
P0015,Adult,55 to 59 years,Main,1
P0015,Adult,Null,Presidio,1
P0015,Digital Access Card,35 to 44 years,Ocean View,1
P0015,Digital Access Card,60 to 64 years,Mission Bay,1
P0015,Juvenile,10 to 19 years,Park,1
P0015,Senior,65 to 74 years,Bernal Heights,1
P0015,Teacher Card,25 to 34 years,Ocean View,1
P0015,Teacher Card,45 to 54 years,Merced,1
P0015,Visitor,25 to 34 years,Bernal Heights,1
P0015,Visitor,35 to 44 years,Mission Bay,1
P0015,Visitor,45 to 54 years,Mission,1
P0015,Welcome,10 to 19 years,Eureka Valley,1
P0016,Adult,0 to 9 years,Visitacion Valley,1
P0016,Adult,25 to 34 years,Chinatown,1
P0016,Adult,25 to 34 years,Portola,1
P0016,Adult,25 to 34 years,Sunset,2
P0016,Adult,75 years and over,Park,1
P0016,Digital Access Card,35 to 44 years,West Portal,1
P0016,Digital Access Card,55 to 59 years,Sunset,1
P0016,Retired Staff,65 to 74 years,Main,1
P0016,Senior,65 to 74 years,Bayview,1
P0016,Senior,Null,Golden Gate Valley,1
P0016,Teacher Card,45 to 54 years,Glen Park,1
P0016,Welcome,0 to 9 years,Park,1
P0016,Welcome,10 to 19 years,Sunset,1
P0016,Welcome,55 to 59 years,North Beach,1
P0017,Adult,0 to 9 years,Main,1
P0017,Adult,35 to 44 years,Golden Gate Valley,1
P0017,Adult,55 to 59 years,Bayview,1
P0017,Adult,55 to 59 years,Ortega,1
P0017,At User Welcome,35 to 44 years,Main,1
P0017,Digital Access Card,45 to 54 years,Sunset,1
P0017,Juvenile,20 to 24 years,Main,1
P0017,Retired Staff,65 to 74 years,Golden Gate Valley,1
P0017,Senior,60 to 64 years,Parkside,1
P0017,Senior,75 years and over,Chinatown,1
P0017,Visitor,20 to 24 years,Bernal Heights,1
P0017,Visitor,25 to 34 years,Anza,1
P0017,Welcome,10 to 19 years,Mission,1
P0017,Welcome,20 to 24 years,Bernal Heights,1
P0017,Welcome,25 to 34 years,Ocean View,1
P0018,Adult,20 to 24 years,Bernal Heights,1
P0018,Adult,25 to 34 years,North Beach,1
P0018,Adult,35 to 44 years,Parkside,1
P0018,At User Adult,25 to 34 years,Mission Bay,1
P0018,Digital Access Card,60 to 64 years,Portola,1
P0018,Library By Mail,75 years and over,Presidio,1
P0018,Senior,60 to 64 years,Ingleside,1
P0018,Teacher Card,55 to 59 years,Main,1
P0018,Teacher Card,60 to 64 years,Park,1
P0018,Teacher Card,65 to 74 years,Richmond,1
P0018,Visitor,60 to 64 years,Noe Valley,1
P0018,Visitor,75 years and over,Parkside,1
P0018,Welcome,10 to 19 years,Golden Gate Valley,1
P0018,Welcome,45 to 54 years,Anza,1
P0018,Welcome,65 to 74 years,Portola,1
P0019,Adult,55 to 59 years,Parkside,1
P0019,Adult,75 years and over,Mission Bay,1
P0019,At User Senior,75 years and over,Richmond,1
P0019,Bibliocommons,25 to 34 years,West Portal,1
P0019,Digital Access Card,60 to 64 years,Eureka Valley,1
P0019,Retired Staff,60 to 64 years,Main,1
P0019,Senior,65 to 74 years,Visitacion Valley,1
P0019,Teacher Card,10 to 19 years,Ocean View,1
P0019,Teacher Card,20 to 24 years,Bernal Heights,1
P0019,Teacher Card,55 to 59 years,Mission,1
P0019,Teacher Card,65 to 74 years,Chinatown,1
P0019,Teacher Card,Null,Bernal Heights,2
P0019,Teen,10 to 19 years,Ocean View,1
P0019,Welcome,10 to 19 years,Ingleside,1
P0020,Adult,10 to 19 years,Golden Gate Valley,1
P0020,Adult,35 to 44 years,Null,1
P0020,Adult,55 to 59 years,Bookmobile,1
P0020,At User Adult,65 to 74 years,Chinatown,1
P0020,At User Teen,10 to 19 years,Glen Park,1
P0020,Bibliocommons,25 to 34 years,West Portal,1
P0020,Digital Access Card,55 to 59 years,Potrero,1
P0020,Digital Access Card,60 to 64 years,Golden Gate Valley,1
P0020,Senior,55 to 59 years,Main,1
P0020,Senior,75 years and over,Anza,1
P0020,Teacher Card,65 to 74 years,Potrero,1
P0020,Teacher Card,75 years and over,Sunset,1
P0020,Welcome,25 to 34 years,Park,1
P0020,Welcome,55 to 59 years,Bayview,1
P0020,Welcome,75 years and over,Ocean View,1
P0021,Adult,65 to 74 years,Bayview,1
P0021,At User Adult,35 to 44 years,Mission Bay,1
P0021,At User Adult,55 to 59 years,Main,1
P0021,Digital Access Card,55 to 59 years,Anza,1
P0021,Digital Access Card,55 to 59 years,Mission Bay,1
P0021,Digital Access Card,60 to 64 years,Sunset,1
P0021,Retired Staff,75 years and over,Excelsior,1
P0021,Senior,75 years and over,Bookmobile,1
P0021,Senior,Null,Main,1
P0021,Teacher Card,0 to 9 years,Presidio,1
P0021,Teacher Card,25 to 34 years,Richmond,1
P0021,Visitor,25 to 34 years,Bernal Heights,1
P0021,Welcome,10 to 19 years,Mission,1
P0021,Welcome,10 to 19 years,Portola,1
P0021,Welcome,35 to 44 years,Ingleside,1
P0022,Adult,10 to 19 years,Sunset,1
P0022,Adult,60 to 64 years,Parkside,1
P0022,At User Adult,35 to 44 years,Mission,1
P0022,Digital Access Card,35 to 44 years,Eureka Valley,1
P0022,Digital Access Card,35 to 44 years,North Beach,1
P0022,Juvenile,0 to 9 years,Ortega,1
P0022,Juvenile,10 to 19 years,Mission Bay,1
P0022,Juvenile,35 to 44 years,Merced,1
P0022,Senior,75 years and over,Mission,1
P0022,Teacher Card,20 to 24 years,Portola,1
P0022,Teacher Card,55 to 59 years,Merced,1
P0022,Teacher Card,65 to 74 years,Ocean View,1
P0022,Teen,10 to 19 years,Ocean View,1
P0022,Teen,10 to 19 years,Sunset,1
P0022,Welcome,55 to 59 years,Western Addition,1
P0023,Adult,45 to 54 years,Chinatown,1
P0023,Adult,65 to 74 years,Ocean View,1
P0023,Adult,Null,Chinatown,1
P0023,Adult,Null,Glen Park,1
P0023,Juvenile,0 to 9 years,Western Addition,1
P0023,Retired Staff,Null,Portola,1
P0023,Senior,65 to 74 years,Marina,1
P0023,Teacher Card,55 to 59 years,Anza,1
P0023,Teacher Card,60 to 64 years,Golden Gate Valley,1
P0023,Teen,Null,Main,1
P0023,Welcome,35 to 44 years,Main,1
P0023,Welcome,45 to 54 years,Portola,1
P0023,Welcome,55 to 59 years,Bookmobile,1
P0023,Welcome,60 to 64 years,Ocean View,1
P0023,Welcome,75 years and over,Parkside,1
P0024,Adult,25 to 34 years,Marina,1
P0024,Adult,35 to 44 years,Anza,1
P0024,Adult,45 to 54 years,Excelsior,1
P0024,Adult,55 to 59 years,Ingleside,1
P0024,Adult,65 to 74 years,Mission Bay,1
P0024,At User Adult,65 to 74 years,Chinatown,1
P0024,Digital Access Card,20 to 24 years,Ingleside,1
P0024,Digital Access Card,25 to 34 years,North Beach,1
P0024,Digital Access Card,35 to 44 years,Mission,1
P0024,Teacher Card,25 to 34 years,Potrero,1
P0024,Teacher Card,55 to 59 years,Ingleside,1
P0024,Teacher Card,75 years and over,Glen Park,1
P0024,Teen,10 to 19 years,Portola,1
P0024,Visitor,10 to 19 years,West Portal,1
P0024,Welcome,20 to 24 years,Bernal Heights,1
P0025,Adult,20 to 24 years,Merced,1
P0025,Adult,20 to 24 years,North Beach,1
P0025,Adult,45 to 54 years,Western Addition,1
P0025,Adult,60 to 64 years,Golden Gate Valley,1
P0025,At User Adult,35 to 44 years,North Beach,1
P0025,Digital Access Card,25 to 34 years,Presidio,1
P0025,Digital Access Card,35 to 44 years,Merced,1
P0025,Digital Access Card,45 to 54 years,Eureka Valley,1
P0025,Digital Access Card,55 to 59 years,Richmond,1
P0025,Digital Access Card,65 to 74 years,Anza,1
P0025,Digital Access Card,Null,Golden Gate Valley,1
P0025,Juvenile,0 to 9 years,Potrero,1
P0025,Juvenile,25 to 34 years,Noe Valley,1
P0025,Teen,10 to 19 years,Mission,1
P0025,Welcome,65 to 74 years,Richmond,1
P0026,Adult,45 to 54 years,Potrero,1
P0026,Adult,60 to 64 years,Chinatown,1
P0026,Digital Access Card,10 to 19 years,Marina,1
P0026,Digital Access Card,20 to 24 years,Portola,1
P0026,Digital Access Card,25 to 34 years,Bayview,1
P0026,Digital Access Card,45 to 54 years,Glen Park,1
P0026,Digital Access Card,60 to 64 years,Sunset,1
P0026,Digital Access Card,65 to 74 years,Portola,1
P0026,Digital Access Card,75 years and over,Merced,1
P0026,Juvenile,10 to 19 years,Anza,1
P0026,Juvenile,10 to 19 years,Merced,1
P0026,Senior,55 to 59 years,Park,1
P0026,Teacher Card,55 to 59 years,Bookmobile,1
P0026,Welcome,0 to 9 years,Main,1
P0026,Welcome,Null,Presidio,1
P0027,Adult,60 to 64 years,North Beach,1
P0027,Adult,65 to 74 years,Portola,1
P0027,At User Senior,65 to 74 years,Marina,1
P0027,Digital Access Card,10 to 19 years,Ocean View,1
P0027,Digital Access Card,20 to 24 years,Main,1
P0027,Digital Access Card,25 to 34 years,Western Addition,1
P0027,Digital Access Card,35 to 44 years,Western Addition,1
P0027,Digital Access Card,65 to 74 years,Bayview,1
P0027,Digital Access Card,75 years and over,Merced,1
P0027,Digital Access Card,75 years and over,Mission Bay,1
P0027,Juvenile,0 to 9 years,Eureka Valley,1
P0027,Juvenile,10 to 19 years,Merced,1
P0027,Juvenile,25 to 34 years,Main,1
P0027,Senior,65 to 74 years,Ingleside,1
P0027,Welcome,20 to 24 years,Mission Bay,1
P0028,Adult,10 to 19 years,Bayview,1
P0028,Adult,35 to 44 years,Western Addition,1
P0028,Adult,65 to 74 years,Richmond,1
P0028,Adult,65 to 74 years,Western Addition,1
P0028,Digital Access Card,60 to 64 years,Presidio,1
P0028,Juvenile,0 to 9 years,Noe Valley,1
P0028,Juvenile,Null,Main,1
P0028,Library By Mail,20 to 24 years,Main,1
P0028,Retired Staff,65 to 74 years,Marina,1
P0028,Retired Staff,65 to 74 years,North Beach,1
P0028,Senior,60 to 64 years,Bayview,1
P0028,Senior,65 to 74 years,North Beach,1
P0028,Teacher Card,75 years and over,Richmond,1
P0028,Visitor,20 to 24 years,North Beach,1
P0028,Welcome,10 to 19 years,Mission Bay,1
P0029,Adult,35 to 44 years,Merced,1
P0029,Adult,55 to 59 years,North Beach,1
P0029,Adult,75 years and over,Mission,1
P0029,At User Senior,65 to 74 years,Western Addition,1
P0029,Digital Access Card,65 to 74 years,Western Addition,1
P0029,Retired Staff,25 to 34 years,Golden Gate Valley,1
P0029,Retired Staff,65 to 74 years,Sunset,1
P0029,Senior,75 years and over,Mission Bay,1
P0029,Senior,75 years and over,Park,1
P0029,Teacher Card,25 to 34 years,Visitacion Valley,1
P0029,Teacher Card,35 to 44 years,Bayview,1
P0029,Teen,0 to 9 years,Excelsior,1
P0029,Welcome,10 to 19 years,Portola,1
P0029,Welcome,55 to 59 years,Eureka Valley,1
P0029,Welcome,60 to 64 years,Bayview,1
P0030,Adult,35 to 44 years,Ocean View,1
P0030,Adult,55 to 59 years,Park,1
P0030,Adult,65 to 74 years,Portola,1
P0030,Digital Access Card,25 to 34 years,Presidio,1
P0030,Digital Access Card,35 to 44 years,Anza,1
P0030,Digital Access Card,Null,Presidio,1
P0030,Juvenile,0 to 9 years,Bayview,1
P0030,Juvenile,0 to 9 years,Portola,1
P0030,Library By Mail,55 to 59 years,Main,1
P0030,Retired Staff,65 to 74 years,Richmond,1
P0030,Teacher Card,25 to 34 years,Mission Bay,1
P0030,Teacher Card,25 to 34 years,Visitacion Valley,1
P0030,Teacher Card,35 to 44 years,Ocean View,1
P0030,Teacher Card,65 to 74 years,Main,1
P0030,Welcome,35 to 44 years,Mission,1
P0031,Adult,25 to 34 years,Presidio,1
P0031,At User Juvenile,10 to 19 years,Noe Valley,1
P0031,Digital Access Card,35 to 44 years,Excelsior,1
P0031,Digital Access Card,60 to 64 years,Merced,1
P0031,Digital Access Card,60 to 64 years,Mission,1
P0031,Digital Access Card,75 years and over,Merced,1
P0031,Senior,55 to 59 years,Parkside,1
P0031,Senior,60 to 64 years,Richmond,1
P0031,Teacher Card,25 to 34 years,North Beach,1
P0031,Teacher Card,55 to 59 years,Potrero,1
P0031,Teacher Card,60 to 64 years,Ortega,1
P0031,Welcome,25 to 34 years,Eureka Valley,1
P0031,Welcome,55 to 59 years,Ortega,1
P0031,Welcome,65 to 74 years,Main,1
P0031,Welcome,65 to 74 years,West Portal,1
P0032,Adult,0 to 9 years,Eureka Valley,1
P0032,Adult,10 to 19 years,Bookmobile,1
P0032,Adult,25 to 34 years,Presidio,1
P0032,Adult,45 to 54 years,Park,1
P0032,At User Adult,35 to 44 years,Ortega,1
P0032,Digital Access Card,25 to 34 years,Anza,1
P0032,Juvenile,0 to 9 years,Marina,1
P0032,Juvenile,0 to 9 years,Merced,1
P0032,Juvenile,0 to 9 years,Presidio,1
P0032,Senior,60 to 64 years,Anza,1
P0032,Senior,65 to 74 years,Chinatown,1
P0032,Teacher Card,0 to 9 years,Mission,1
P0032,Teacher Card,60 to 64 years,Ocean View,1
P0032,Teen,25 to 34 years,Bookmobile,1
P0032,Visitor,20 to 24 years,Merced,1
P0033,Adult,20 to 24 years,Bookmobile,1
P0033,Adult,20 to 24 years,Glen Park,1
P0033,Adult,20 to 24 years,Mission,1
P0033,At User Teen,10 to 19 years,Glen Park,1
P0033,Digital Access Card,55 to 59 years,Eureka Valley,1
P0033,Digital Access Card,75 years and over,Excelsior,1
P0033,Retired Staff,55 to 59 years,Potrero,1
P0033,Retired Staff,Null,Ingleside,1
P0033,Retired Staff,Null,Sunset,1
P0033,Senior,75 years and over,Parkside,1
P0033,Senior,Null,Park,1
P0033,Visitor,25 to 34 years,Parkside,1
P0033,Visitor,45 to 54 years,Noe Valley,1
P0033,Welcome,20 to 24 years,Mission,1
P0033,Welcome,Null,Marina,1
P0034,Adult,0 to 9 years,Mission,1
P0034,Adult,0 to 9 years,Sunset,1
P0034,Adult,20 to 24 years,Sunset,1
P0034,Adult,35 to 44 years,Bernal Heights,1
P0034,Adult,75 years and over,Mission Bay,1
P0034,Digital Access Card,10 to 19 years,Parkside,1
P0034,Digital Access Card,20 to 24 years,Ocean View,1
P0034,Digital Access Card,20 to 24 years,Potrero,1
P0034,Digital Access Card,25 to 34 years,Marina,1
P0034,Digital Access Card,75 years and over,Parkside,1
P0034,Juvenile,10 to 19 years,Bookmobile,1
P0034,Juvenile,10 to 19 years,Western Addition,1
P0034,Retired Staff,65 to 74 years,Marina,1
P0034,Teacher Card,60 to 64 years,Portola,1
P0034,Teen,10 to 19 years,West Portal,1
P0035,Adult,10 to 19 years,Excelsior,1
P0035,Adult,25 to 34 years,Visitacion Valley,1
P0035,Adult,35 to 44 years,Potrero,1
P0035,Adult,60 to 64 years,Chinatown,1
P0035,Adult,60 to 64 years,Park,1
P0035,Adult,65 to 74 years,Merced,1
P0035,At User Adult,60 to 64 years,Ingleside,1
P0035,Digital Access Card,0 to 9 years,Bayview,1
P0035,Library By Mail,35 to 44 years,Western Addition,1
P0035,Retired Staff,75 years and over,Excelsior,1
P0035,Teacher Card,35 to 44 years,Portola,1
P0035,Visitor,45 to 54 years,Eureka Valley,1
P0035,Visitor,65 to 74 years,Marina,1
P0035,Welcome,25 to 34 years,Western Addition,1
P0035,Welcome,35 to 44 years,Golden Gate Valley,1
P0036,Adult,0 to 9 years,Potrero,1
P0036,Adult,35 to 44 years,Golden Gate Valley,1
P0036,Adult,65 to 74 years,Presidio,1
P0036,Adult,75 years and over,Mission Bay,1
P0036,At User Adult,45 to 54 years,Mission Bay,1
P0036,Digital Access Card,65 to 74 years,Sunset,1
P0036,Juvenile,10 to 19 years,Merced,1
P0036,Senior,60 to 64 years,Mission,1
P0036,Teacher Card,0 to 9 years,West Portal,1
P0036,Teacher Card,25 to 34 years,Main,1
P0036,Teacher Card,75 years and over,Main,1
P0036,Teen,10 to 19 years,Marina,1
P0036,Welcome,35 to 44 years,Marina,1
P0036,Welcome,55 to 59 years,Golden Gate Valley,1
P0036,Welcome,75 years and over,Marina,1
P0037,Adult,35 to 44 years,Merced,1
P0037,Adult,35 to 44 years,Ocean View,1
P0037,Adult,55 to 59 years,Mission Bay,1
P0037,Digital Access Card,20 to 24 years,Anza,1
P0037,Digital Access Card,45 to 54 years,Ocean View,1
P0037,Digital Access Card,60 to 64 years,Portola,1
P0037,Digital Access Card,Null,Sunset,1
P0037,Juvenile,10 to 19 years,Mission Bay,1
P0037,Juvenile,25 to 34 years,Ocean View,1
P0037,Teacher Card,20 to 24 years,Merced,1
P0037,Teacher Card,65 to 74 years,Ortega,1
P0037,Teacher Card,75 years and over,Main,1
P0037,Teacher Card,75 years and over,Visitacion Valley,1
P0037,Visitor,55 to 59 years,Main,1
P0037,Welcome,60 to 64 years,Eureka Valley,1
